3 3 3 3 3 2 2 3 3 15 2 2 3 4 4 3 2 2 3 3 4 3 3 3 3 11 3 3 4 27 2 4 3 2 2 3 3 2 3 3 2 3 3 4 3 2 3 4 3 3 4 2 2 2 4 3 3 2 3 3 2 2 3 2 2 2 2 2 3 2 3 3 2 2 2 4 2 4 3 3 3 3 4 2 4 4 3 3 4 3 3 3 2 2 2 3 3 3 4 3 3 3 3 3 2 3 3 2 4 4 2 3 2 3 2 2 4 2 3 3 2 3 2 2 2 3 2 3 2 3 1 3 3 3 3 3 2 4 3 2 2 2 3 2 3 3 2 4 2 2 3 2 3 2 3 1 3 3 3 4 4 3 3 3 4 2 3 2 4 0 0 0 0 0
4 2 2 4 4 3 3 2 2 22 3 3 2 3 3 4 2 3 1 4 3 2 2 2 2 11 4 2 3 22 2 3 2 3 3 2 4 3 3 2 3 2 2 3 2 2 4 3 3 4 3 3 3 3 3 4 2 3 2 3 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 2 3 3 3 4 2 4 3 5 3 3 4 3 3 2 2 2 3 3 2 2 4 3 2 2 2 2 2 3 3 2 4 3 4 3 3 2 3 4 3 3 3 2 2 4 3 4 2 2 3 4 3 4 3 2 2 2 2 4 3 3 3 2 2 3 3 3 2 2 2 2 3 3 3 3 4 3 1 2 2 2 4 2 4 3 3 2 2 2 3 3 2 3 2 0 0 0 0 0
3 2 3 3 5 2 2 3 3 20 2 2 2 3 11 3 2 3 3 3 2 3 2 3 3 15 3 3 2 18 3 4 3 2 4 1 3 2 2 2 2 2 3 3 3 3 3 2 4 2 2 3 2 2 2 3 3 4 3 2 3 3 3 4 2 2 3 4 2 2 3 2 4 4 2 3 2 4 2 3 3 2 2 4 2 4 2 4 2 2 3 3 2 4 3 3 3 4 3 3 3 3 3 2 4 3 2 2 2 4 3 2 2 4 2 4 4 2 3 3 3 3 3 3 2 3 2 3 2 3 3 3 3 3 2 2 3 3 3 2 2 2 3 2 3 3 2 2 4 2 3 2 2 3 3 3 2 3 3 2 2 3 1 3 4 2 3 2 3 0 0 0 0 0
3 3 4 4 2 3 3 2 2 19 3 3 3 2 14 2 2 2 2 2 3 3 3 4 3 12 2 2 3 15 4 3 2 2 3 2 4 2 3 2 3 2 2 5 3 2 2 3 2 3 2 2 2 3 3 4 2 3 2 3 4 4 2 3 3 3 2 3 3 3 2 3 3 3 3 2 3 2 3 3 2 3 3 2 3 3 2 2 3 3 4 2 3 3 4 2 2 3 4 3 2 3 2 3 3 2 2 3 3 3 2 3 3 4 3 3 2 3 4 4 4 4 3 4 2 3 2 2 3 2 2 2 2 4 3 3 4 4 3 3 3 3 2 3 3 2 3 3 3 3 4 3 3 2 4 4 3 2 4 2 3 2 2 4 3 3 2 3 4 0 0 0 0 0
4 3 3 3 7 4 4 3 4 24 4 2 2 3 9 2 2 3 3 3 2 4 4 3 1 10 3 3 2 17 3 2 3 2 4 3 3 3 2 3 3 3 3 2 2 3 3 2 2 4 3 3 3 2 3 3 3 4 3 2 3 2 3 2 2 2 2 2 2 2 3 2 4 2 2 3 2 3 4 2 3 4 2 3 2 2 3 3 2 2 3 2 2 4 2 3 3 4 3 4 3 3 2 2 3 3 2 2 2 2 3 4 4 3 2 2 3 4 3 3 3 3 4 3 3 1 2 3 4 3 3 2 3 3 2 2 2 3 2 2 2 2 3 2 4 3 4 2 2 2 3 2 3 3 3 3 4 3 3 2 2 2 3 3 2 2 3 2 3 0 0 0 0 0
4 2 2 4 5 2 1 2 3 20 3 2 3 2 8 3 4 2 4 4 3 3 3 2 2 12 4 4 3 7 4 3 4 3 3 4 2 2 3 2 4 2 3 3 3 4 2 2 3 3 2 4 2 3 4 2 4 3 2 3 2 3 2 3 3 3 3 3 3 3 4 3 3 3 2 2 3 3 4 3 4 1 3 3 3 3 4 2 3 3 2 3 2 3 2 3 4 3 2 3 8 4 2 3 2 2 3 3 3 3 2 3 3 1 3 2 4 2 4 4 2 2 4 2 2 3 2 2 3 4 3 2 4 2 3 3 3 4 3 3 3 3 2 3 3 2 3 3 3 3 4 3 2 2 4 2 3 2 4 3 3 3 2 2 3 3 2 2 3 0 0 0 0 0
3 3 3 3 5 3 2 3 2 16 4 3 2 3 1 4 3 2 3 2 3 2 2 3 3 8 1 3 2 18 3 2 3 3 2 3 3 3 2 3 3 3 2 7 4 3 2 3 4 4 3 2 3 2 2 3 3 4 3 4 2 2 3 4 3 2 4 2 2 2 3 2 4 4 2 3 4 2 5 2 2 2 2 2 4 2 3 2 3 2 3 4 3 2 3 3 2 2 3 2 12 3 3 4 2 2 2 4 4 1 2 3 4 1 4 2 3 4 3 3 3 3 3 3 2 2 2 3 4 3 2 3 3 3 2 2 2 1 4 4 4 2 3 3 2 3 2 4 2 3 3 4 3 3 3 3 2 3 3 2 4 2 3 2 2 4 3 3 2 0 0 0 0 0
2 2 2 4 6 4 3 4 2 13 2 2 3 4 2 3 2 3 2 3 4 3 3 4 2 7 2 2 3 17 2 3 3 3 3 4 2 2 3 4 2 2 2 5 3 2 3 2 2 3 2 2 2 3 3 2 2 3 2 3 3 2 2 3 4 3 3 3 3 3 2 3 3 3 4 4 2 3 4 3 3 3 3 2 3 3 2 2 2 2 2 3 4 2 2 4 3 2 1 3 14 4 4 3 3 3 2 3 3 2 3 2 3 1 3 3 2 3 2 2 2 2 1 4 3 2 3 4 5 4 2 4 4 2 3 3 3 2 3 3 2 3 2 2 2 2 3 3 3 4 4 2 2 3 4 2 2 4 2 3 3 2 4 3 3 2 2 2 3 0 0 0 0 0
4 3 2 3 5 3 2 3 3 7 3 3 3 2 4 2 3 2 2 2 3 2 2 3 3 12 3 3 4 15 3 4 13 2 2 3 3 3 4 3 3 2 3 4 2 3 2 3 2 4 3 3 3 2 2 3 2 2 3 2 4 3 3 4 3 2 4 4 2 4 3 2 4 2 2 3 3 2 5 2 4 4 2 2 3 3 3 3 2 3 3 2 3 2 3 3 2 3 2 4 1 2 3 3 2 6 2 2 4 2 4 3 1 3 2 2 3 2 3 3 3 3 1 3 2 3 2 3 4 3 2 3 3 3 2 4 2 3 2 4 3 4 2 3 3 2 2 4 2 3 3 3 2 4 2 3 3 3 3 2 4 2 3 4 4 3 3 3 4 0 0 0 0 0
2 4 3 2 6 4 3 4 4 10 2 2 2 3 2 3 3 3 3 3 2 3 3 4 2 10 2 4 2 13 2 3 9 3 3 4 4 4 3 1 2 2 4 3 3 3 2 4 2 3 2 4 4 2 2 2 3 3 4 3 3 4 2 3 2 3 3 3 3 2 2 2 3 3 2 4 2 3 4 3 3 3 3 3 2 2 4 4 3 4 2 3 4 3 2 4 3 2 3 3 7 3 4 4 3 4 3 3 3 2 3 2 3 1 3 3 4 3 4 2 4 3 2 4 2 3 3 2 3 4 2 4 2 3 3 5 3 2 2 3 3 3 2 2 2 3 3 3 3 4 3 2 3 3 3 4 2 2 4 3 3 3 2 3 3 4 2 4 3 0 0 0 0 0
